1: nitrous oxide: Specified state points

Temperature, Pressure, Density, Int. Energy, Enthalpy, Entropy, Cv, Cp, Cp/Cv, Sound Speed, Comp. Factor, Heat of Vapor., Molar Mass, Therm. Cond., Viscosity, Vol. Expansivity
(K), (Pa), (kg/m^3), (J/kg), (J/kg), (J/kg-K), (J/kg-K), (J/kg-K), , (m/s), , (J/kg), , (W/m-K), (Pa-s), (1/K)
, , , , , , , , , , , , , , , 
230.0000000, 650000.0000, 16.41256670, 360654.2756, 400258.0750, 1820.167979, 706.7135818, 1003.047954, 1.419313255, 225.1579556, 0.9114946609, Undefined, 44.01288000, 0.009867603740, 0.000009125187690, 0.006005911513
230.0000000, 675000.0000, 17.11579037, 360236.0103, 399673.2776, 1811.140412, 712.2080829, 1015.049799, 1.425215219, 224.5604676, 0.9076618684, Undefined, 44.01288000, 0.009882487108, 0.000009138319710, 0.006100295218
230.0000000, 700000.0000, 17.82576971, 359811.5320, 399080.5235, 1802.340592, 717.8762604, 1027.493617, 1.431296275, 223.9548590, 0.9037889453, Undefined, 44.01288000, 0.009899651933, 0.000009151609312, 0.006198020558
230.0000000, 725000.0000, 18.54271201, 359380.6544, 398479.5737, 1793.749333, 723.7232484, 1040.399859, 1.437565895, 223.3408888, 0.8998746751, Undefined, 44.01288000, 0.009919183776, 0.000009165061417, 0.006299262644
230.0000000, 750000.0000, 19.26683532, 358943.1817, 397870.1766, 1785.349253, 729.7544461, 1053.790420, 1.444034258, 222.7183040, 0.8959177784, Undefined, 44.01288000, 0.009941173622, 0.000009178681201, 0.006404209544
230.0000000, 775000.0000, 19.99836922, 358498.9078, 397252.0677, 1777.124518, 735.9755369, 1067.688780, 1.450712322, 222.0868388, 0.8919169080, Undefined, 44.01288000, 0.009965718340, 0.000009192474115, 0.006513063534
230.0000000, 800000.0000, 20.73755574, 358047.6155, 396624.9681, 1769.060643, 742.3925106, 1082.120153, 1.457611893, 221.4462135, 0.8878706446, Undefined, 44.01288000, 0.009992921192, 0.000009206445907, 0.006626042507
230.0000000, 825000.0000, 21.48465030, 357589.0754, 395988.5833, 1761.144308, 749.0116864, 1097.111661, 1.464745719, 220.7961333, 0.8837774902, Undefined, 44.01288000, 0.01002289239, 0.000009220602643, 0.006743381544
230.0000000, 850000.0000, 1087.699840, 79671.60204, 80453.06763, 386.0220823, 908.9436186, 1841.389484, 2.025856661, 853.4154620, 0.01798569141, Undefined, 44.01288000, 0.1458439778, 0.0001951167649, 0.003358085470
230.0000000, 875000.0000, 1087.769359, 79653.90495, 80458.30341, 385.9449180, 908.9491981, 1841.147343, 2.025577828, 853.6080200, 0.01851349907, Undefined, 44.01288000, 0.1458631871, 0.0001951635374, 0.003356650929
230.0000000, 900000.0000, 1087.838836, 79636.21799, 80463.54643, 385.8677917, 908.9547935, 1840.905527, 2.025299322, 853.8004699, 0.01904123999, Undefined, 44.01288000, 0.1458823898, 0.0001952102981, 0.003355218273
230.0000000, 925000.0000, 1087.908273, 79618.54117, 80468.79668, 385.7907032, 908.9604046, 1840.664036, 2.025021141, 853.9928118, 0.01956891425, Undefined, 44.01288000, 0.1459015859, 0.0001952570468, 0.003353787499
230.0000000, 950000.0000, 1087.977669, 79600.87446, 80474.05415, 385.7136524, 908.9660314, 1840.422869, 2.024743285, 854.1850460, 0.02009652190, Undefined, 44.01288000, 0.1459207754, 0.0001953037838, 0.003352358603
230.0000000, 975000.0000, 1088.047024, 79583.21786, 80479.31884, 385.6366394, 908.9716740, 1840.182025, 2.024465754, 854.3771725, 0.02062406302, Undefined, 44.01288000, 0.1459399583, 0.0001953505089, 0.003350931580
230.0000000, 1000000.000, 1088.116338, 79565.57134, 80484.59072, 385.5596640, 908.9773322, 1839.941504, 2.024188546, 854.5691915, 0.02115153768, Undefined, 44.01288000, 0.1459591346, 0.0001953972222, 0.003349506427
230.0000000, 1025000.000, 1088.185612, 79547.93490, 80489.86980, 385.4827263, 908.9830060, 1839.701305, 2.023911660, 854.7611032, 0.02167894595, Undefined, 44.01288000, 0.1459783044, 0.0001954439237, 0.003348083138
230.0000000, 1050000.000, 1088.254845, 79530.30852, 80495.15605, 385.4058261, 908.9886954, 1839.461427, 2.023635097, 854.9529078, 0.02220628791, Undefined, 44.01288000, 0.1459974676, 0.0001954906134, 0.003346661711
230.0000000, 1075000.000, 1088.324038, 79512.69219, 80500.44947, 385.3289635, 908.9944003, 1839.221870, 2.023358856, 855.1446053, 0.02273356362, Undefined, 44.01288000, 0.1460166242, 0.0001955372914, 0.003345242140
230.0000000, 1100000.000, 1088.393190, 79495.08589, 80505.75006, 385.2521383, 909.0001208, 1838.982632, 2.023082935, 855.3361959, 0.02326077315, Undefined, 44.01288000, 0.1460357743, 0.0001955839577, 0.003343824422
230.0000000, 1125000.000, 1088.462302, 79477.48961, 80511.05779, 385.1753506, 909.0058568, 1838.743714, 2.022807334, 855.5276798, 0.02378791657, Undefined, 44.01288000, 0.1460549179, 0.0001956306122, 0.003342408553
230.0000000, 1150000.000, 1088.531374, 79459.90334, 80516.37265, 385.0986002, 909.0116082, 1838.505114, 2.022532053, 855.7190572, 0.02431499396, Undefined, 44.01288000, 0.1460740550, 0.0001956772551, 0.003340994528
230.0000000, 1175000.000, 1088.600405, 79442.32706, 80521.69465, 385.0218872, 909.0173750, 1838.266832, 2.022257090, 855.9103282, 0.02484200538, Undefined, 44.01288000, 0.1460931855, 0.0001957238862, 0.003339582344
230.0000000, 1200000.000, 1088.669396, 79424.76076, 80527.02376, 384.9452114, 909.0231573, 1838.028867, 2.021982446, 856.1014929, 0.02536895090, Undefined, 44.01288000, 0.1461123095, 0.0001957705058, 0.003338171996
230.0000000, 1225000.000, 1088.738347, 79407.20442, 80532.35998, 384.8685729, 909.0289548, 1837.791218, 2.021708118, 856.2925516, 0.02589583060, Undefined, 44.01288000, 0.1461314271, 0.0001958171136, 0.003336763481
230.0000000, 1250000.000, 1088.807258, 79389.65804, 80537.70329, 384.7919715, 909.0347677, 1837.553885, 2.021434108, 856.4835043, 0.02642264454, Undefined, 44.01288000, 0.1461505381, 0.0001958637099, 0.003335356794
230.0000000, 1275000.000, 1088.876129, 79372.12161, 80543.05369, 384.7154072, 909.0405959, 1837.316867, 2.021160414, 856.6743512, 0.02694939278, Undefined, 44.01288000, 0.1461696427, 0.0001959102945, 0.003333951931
230.0000000, 1300000.000, 1088.944960, 79354.59509, 80548.41117, 384.6388800, 909.0464393, 1837.080163, 2.020887035, 856.8650924, 0.02747607541, Undefined, 44.01288000, 0.1461887408, 0.0001959568676, 0.003332548889
230.0000000, 1325000.000, 1089.013751, 79337.07849, 80553.77571, 384.5623899, 909.0522980, 1836.843773, 2.020613970, 857.0557282, 0.02800269249, Undefined, 44.01288000, 0.1462078324, 0.0001960034291, 0.003331147664
230.0000000, 1350000.000, 1089.082502, 79319.57179, 80559.14730, 384.4859367, 909.0581718, 1836.607696, 2.020341220, 857.2462587, 0.02852924408, Undefined, 44.01288000, 0.1462269176, 0.0001960499790, 0.003329748250
230.0000000, 1375000.000, 1089.151213, 79302.07498, 80564.52594, 384.4095204, 909.0640608, 1836.371931, 2.020068783, 857.4366839, 0.02905573027, Undefined, 44.01288000, 0.1462459963, 0.0001960965174, 0.003328350645
230.0000000, 1400000.000, 1089.219885, 79284.58804, 80569.91162, 384.3331411, 909.0699649, 1836.136478, 2.019796659, 857.6270042, 0.02958215110, Undefined, 44.01288000, 0.1462650686, 0.0001961430443, 0.003326954845
230.0000000, 1425000.000, 1089.288517, 79267.11096, 80575.30431, 384.2567985, 909.0758841, 1835.901336, 2.019524847, 857.8172195, 0.03010850666, Undefined, 44.01288000, 0.1462841345, 0.0001961895597, 0.003325560845
230.0000000, 1450000.000, 1089.357109, 79249.64372, 80580.70402, 384.1804927, 909.0818184, 1835.666504, 2.019253346, 858.0073301, 0.03063479702, Undefined, 44.01288000, 0.1463031939, 0.0001962360636, 0.003324168642
230.0000000, 1475000.000, 1089.425661, 79232.18632, 80586.11074, 384.1042237, 909.0877676, 1835.431981, 2.018982156, 858.1973362, 0.03116102223, Undefined, 44.01288000, 0.1463222469, 0.0001962825560, 0.003322778232
230.0000000, 1500000.000, 1089.494174, 79214.73875, 80591.52445, 384.0279914, 909.0937319, 1835.197768, 2.018711276, 858.3872378, 0.03168718237, Undefined, 44.01288000, 0.1463412935, 0.0001963290370, 0.003321389610
230.0000000, 1525000.000, 1089.562648, 79197.30098, 80596.94514, 383.9517956, 909.0997111, 1834.963862, 2.018440706, 858.5770351, 0.03221327751, Undefined, 44.01288000, 0.1463603338, 0.0001963755066, 0.003320002773
230.0000000, 1550000.000, 1089.631082, 79179.87300, 80602.37280, 383.8756365, 909.1057052, 1834.730265, 2.018170444, 858.7667282, 0.03273930771, Undefined, 44.01288000, 0.1463793676, 0.0001964219648, 0.003318617718
230.0000000, 1575000.000, 1089.699476, 79162.45481, 80607.80743, 383.7995139, 909.1117142, 1834.496974, 2.017900491, 858.9563174, 0.03326527304, Undefined, 44.01288000, 0.1463983950, 0.0001964684115, 0.003317234439
230.0000000, 1600000.000, 1089.767832, 79145.04638, 80613.24901, 383.7234278, 909.1177381, 1834.263990, 2.017630845, 859.1458028, 0.03379117357, Undefined, 44.01288000, 0.1464174161, 0.0001965148469, 0.003315852934
230.0000000, 1625000.000, 1089.836148, 79127.64771, 80618.69754, 383.6473781, 909.1237768, 1834.031311, 2.017361506, 859.3351844, 0.03431700937, Undefined, 44.01288000, 0.1464364308, 0.0001965612709, 0.003314473199
230.0000000, 1650000.000, 1089.904425, 79110.25879, 80624.15300, 383.5713649, 909.1298303, 1833.798937, 2.017092473, 859.5244625, 0.03484278050, Undefined, 44.01288000, 0.1464554392, 0.0001966076836, 0.003313095229
230.0000000, 1675000.000, 1089.972663, 79092.87959, 80629.61538, 383.4953879, 909.1358986, 1833.566868, 2.016823745, 859.7136372, 0.03536848704, Undefined, 44.01288000, 0.1464744412, 0.0001966540850, 0.003311719020
230.0000000, 1700000.000, 1090.040861, 79075.51011, 80635.08467, 383.4194473, 909.1419816, 1833.335102, 2.016555323, 859.9027087, 0.03589412904, Undefined, 44.01288000, 0.1464934369, 0.0001967004751, 0.003310344570
230.0000000, 1725000.000, 1090.109021, 79058.15033, 80640.56087, 383.3435430, 909.1480793, 1833.103640, 2.016287205, 860.0916770, 0.03641970657, Undefined, 44.01288000, 0.1465124262, 0.0001967468538, 0.003308971874
230.0000000, 1750000.000, 1090.177142, 79040.80025, 80646.04396, 383.2676748, 909.1541916, 1832.872480, 2.016019391, 860.2805424, 0.03694521971, Undefined, 44.01288000, 0.1465314092, 0.0001967932213, 0.003307600929
230.0000000, 1775000.000, 1090.245223, 79023.45985, 80651.53394, 383.1918428, 909.1603186, 1832.641621, 2.015751879, 860.4693050, 0.03747066851, Undefined, 44.01288000, 0.1465503859, 0.0001968395776, 0.003306231730
230.0000000, 1800000.000, 1090.313266, 79006.12911, 80657.03078, 383.1160469, 909.1664602, 1832.411064, 2.015484671, 860.6579648, 0.03799605305, Undefined, 44.01288000, 0.1465693563, 0.0001968859226, 0.003304864274
230.0000000, 1825000.000, 1090.381270, 78988.80802, 80662.53450, 383.0402870, 909.1726164, 1832.180807, 2.015217764, 860.8465222, 0.03852137339, Undefined, 44.01288000, 0.1465883204, 0.0001969322564, 0.003303498557
230.0000000, 1850000.000, 1090.449235, 78971.49658, 80668.04506, 382.9645632, 909.1787871, 1831.950850, 2.014951158, 861.0349772, 0.03904662960, Undefined, 44.01288000, 0.1466072782, 0.0001969785789, 0.003302134576
230.0000000, 1875000.000, 1090.517162, 78954.19476, 80673.56247, 382.8888754, 909.1849723, 1831.721192, 2.014684852, 861.2233299, 0.03957182174, Undefined, 44.01288000, 0.1466262297, 0.0001970248903, 0.003300772326
230.0000000, 1900000.000, 1090.585050, 78936.90256, 80679.08672, 382.8132234, 909.1911720, 1831.491832, 2.014418847, 861.4115806, 0.04009694988, Undefined, 44.01288000, 0.1466451749, 0.0001970711905, 0.003299411804
230.0000000, 1925000.000, 1090.652899, 78919.61996, 80684.61779, 382.7376074, 909.1973862, 1831.262771, 2.014153141, 861.5997293, 0.04062201408, Undefined, 44.01288000, 0.1466641139, 0.0001971174796, 0.003298053006
230.0000000, 1950000.000, 1090.720710, 78902.34695, 80690.15567, 382.6620272, 909.2036148, 1831.034007, 2.013887733, 861.7877762, 0.04114701442, Undefined, 44.01288000, 0.1466830466, 0.0001971637576, 0.003296695929
230.0000000, 1975000.000, 1090.788482, 78885.08352, 80695.70036, 382.5864827, 909.2098577, 1830.805539, 2.013622624, 861.9757214, 0.04167195095, Undefined, 44.01288000, 0.1467019731, 0.0001972100244, 0.003295340569
230.0000000, 2000000.000, 1090.856215, 78867.82965, 80701.25185, 382.5109740, 909.2161150, 1830.577368, 2.013357812, 862.1635651, 0.04219682374, Undefined, 44.01288000, 0.1467208933, 0.0001972562801, 0.003293986922
230.0000000, 2025000.000, 1090.923911, 78850.58534, 80706.81012, 382.4355010, 909.2223866, 1830.349492, 2.013093297, 862.3513074, 0.04272163286, Undefined, 44.01288000, 0.1467398073, 0.0001973025247, 0.003292634985
230.0000000, 2050000.000, 1090.991568, 78833.35056, 80712.37517, 382.3600636, 909.2286726, 1830.121911, 2.012829078, 862.5389485, 0.04324637837, Undefined, 44.01288000, 0.1467587151, 0.0001973487583, 0.003291284753
230.0000000, 2075000.000, 1091.059186, 78816.12531, 80717.94698, 382.2846618, 909.2349727, 1829.894624, 2.012565155, 862.7264885, 0.04377106034, Undefined, 44.01288000, 0.1467776166, 0.0001973949808, 0.003289936224
230.0000000, 2100000.000, 1091.126767, 78798.90958, 80723.52555, 382.2092956, 909.2412871, 1829.667630, 2.012301527, 862.9139275, 0.04429567883, Undefined, 44.01288000, 0.1467965119, 0.0001974411922, 0.003288589393
230.0000000, 2125000.000, 1091.194309, 78781.70335, 80729.11087, 382.1339648, 909.2476158, 1829.440930, 2.012038193, 863.1012657, 0.04482023391, Undefined, 44.01288000, 0.1468154010, 0.0001974873927, 0.003287244258
230.0000000, 2150000.000, 1091.261813, 78764.50661, 80734.70293, 382.0586696, 909.2539585, 1829.214522, 2.011775153, 863.2885033, 0.04534472563, Undefined, 44.01288000, 0.1468342840, 0.0001975335821, 0.003285900814
230.0000000, 2175000.000, 1091.329279, 78747.31935, 80740.30171, 381.9834097, 909.2603155, 1828.988405, 2.011512406, 863.4756403, 0.04586915408, Undefined, 44.01288000, 0.1468531607, 0.0001975797606, 0.003284559057
230.0000000, 2200000.000, 1091.396707, 78730.14156, 80745.90721, 381.9081852, 909.2666865, 1828.762580, 2.011249952, 863.6626769, 0.04639351930, Undefined, 44.01288000, 0.1468720313, 0.0001976259281, 0.003283218985
230.0000000, 2225000.000, 1091.464097, 78712.97321, 80751.51943, 381.8329961, 909.2730716, 1828.537045, 2.010987790, 863.8496132, 0.04691782137, Undefined, 44.01288000, 0.1468908957, 0.0001976720846, 0.003281880593
230.0000000, 2250000.000, 1091.531449, 78695.81431, 80757.13834, 381.7578422, 909.2794708, 1828.311800, 2.010725919, 864.0364495, 0.04744206035, Undefined, 44.01288000, 0.1469097539, 0.0001977182302, 0.003280543878
230.0000000, 2275000.000, 1091.598763, 78678.66484, 80762.76394, 381.6827235, 909.2858840, 1828.086844, 2.010464339, 864.2231857, 0.04796623630, Undefined, 44.01288000, 0.1469286060, 0.0001977643649, 0.003279208837
230.0000000, 2300000.000, 1091.666040, 78661.52479, 80768.39623, 381.6076401, 909.2923111, 1827.862177, 2.010203050, 864.4098221, 0.04849034928, Undefined, 44.01288000, 0.1469474519, 0.0001978104887, 0.003277875466
230.0000000, 2325000.000, 1091.733278, 78644.39414, 80774.03518, 381.5325917, 909.2987523, 1827.637798, 2.009942050, 864.5963589, 0.04901439937, Undefined, 44.01288000, 0.1469662917, 0.0001978566016, 0.003276543762
230.0000000, 2350000.000, 1091.800479, 78627.27288, 80779.68080, 381.4575785, 909.3052073, 1827.413706, 2.009681339, 864.7827960, 0.04953838662, Undefined, 44.01288000, 0.1469851253, 0.0001979027036, 0.003275213720
230.0000000, 2375000.000, 1091.867642, 78610.16100, 80785.33307, 381.3826003, 909.3116763, 1827.189902, 2.009420916, 864.9691337, 0.05006231110, Undefined, 44.01288000, 0.1470039528, 0.0001979487948, 0.003273885338
230.0000000, 2400000.000, 1091.934768, 78593.05849, 80790.99198, 381.3076571, 909.3181591, 1826.966383, 2.009160782, 865.1553722, 0.05058617287, Undefined, 44.01288000, 0.1470227742, 0.0001979948751, 0.003272558611
230.0000000, 2425000.000, 1092.001856, 78575.96533, 80796.65753, 381.2327489, 909.3246558, 1826.743151, 2.008900934, 865.3415115, 0.05110997200, Undefined, 44.01288000, 0.1470415895, 0.0001980409446, 0.003271233537
230.0000000, 2450000.000, 1092.068906, 78558.88152, 80802.32970, 381.1578756, 909.3311663, 1826.520203, 2.008641374, 865.5275518, 0.05163370854, Undefined, 44.01288000, 0.1470603987, 0.0001980870033, 0.003269910112
