3: nitrous oxide: V/L sat. T=183.0000000 to 308.0000000 K

, , Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, , , Liquid, Vapor, Liquid, Vapor, Liquid, Vapor
Temperature, Pressure, Density, Density, Int. Energy, Int. Energy, Enthalpy, Enthalpy, Entropy, Entropy, Cv, Cv, Cp, Cp, Cp/Cv, Cp/Cv, Sound Speed, Sound Speed, Comp. Factor, Comp. Factor, Heat of Vapor., Molar Mass, Therm. Cond., Therm. Cond., Viscosity, Viscosity, Vol. Expansivity, Vol. Expansivity
(K), (Pa), (kg/m^3), (kg/m^3), (J/kg), (J/kg), (J/kg), (J/kg), (J/kg-K), (J/kg-K), (J/kg-K), (J/kg-K), (J/kg-K), (J/kg-K), , , (m/s), (m/s), , , (J/kg), , (W/m-K), (W/m-K), (Pa-s), (Pa-s), (1/K), (1/K)
183.0000000, 91363.75527, 1239.051245, 2.713894862, -3039.089953, 339860.0442, -2965.353087, 373525.2229, -16.08499132, 2041.240560, 949.1947625, 601.2134807, 1729.598597, 822.8916880, 1.822174611, 1.368717959, 1160.655292, 211.6301988, 0.002132940282, 0.9738116053, 376490.5759, 44.01288000, 0.2003058742, 0.007224825503, 0.0004318008031, 0.000007039152442, 0.002401739453, 0.006084365545
184.0000000, 97096.78068, 1236.079182, 2.871851677, -1311.448968, 340302.5413, -1232.896734, 374112.3586, -6.669035547, 2033.250831, 947.8322582, 604.0759479, 1730.154723, 827.1497294, 1.825380712, 1.369281019, 1154.046993, 211.9922418, 0.002259882339, 0.9726802870, 375345.2554, 44.01288000, 0.1990683136, 0.007272692834, 0.0004233105506, 0.000007081335286, 0.002413999767, 0.006077733873
185.0000000, 103110.8813, 1233.099491, 3.036880184, 416.6423935, 340742.8157, 500.2616651, 374695.7131, 2.698395475, 2025.376512, 946.4973204, 606.9655102, 1730.781800, 831.4770904, 1.828617749, 1.369891825, 1147.444850, 212.3474608, 0.002392653252, 0.9715165990, 374195.4515, 44.01288000, 0.1978345763, 0.007320803961, 0.0004150513687, 0.000007123642022, 0.002426501647, 0.006071969396
186.0000000, 109415.5689, 1230.111990, 3.209195831, 2145.247714, 341180.8146, 2234.195362, 375275.2030, 12.01817178, 2017.614987, 945.1894583, 609.8814103, 1731.479856, 835.8738318, 1.831886550, 1.370551418, 1140.848651, 212.6958014, 0.002531434179, 0.9703201981, 373041.0076, 44.01288000, 0.1966046364, 0.007369171593, 0.0004070156186, 0.000007166076013, 0.002439249741, 0.006067072927
187.0000000, 116020.5016, 1227.116494, 3.389017389, 3874.430312, 341616.4848, 3968.977571, 375850.7446, 21.29114820, 2009.963699, 943.9081936, 612.8228796, 1732.248957, 840.3400244, 1.835187965, 1.371260853, 1134.258188, 213.0372095, 0.002676408813, 0.9690907491, 371881.7670, 44.01288000, 0.1953784673, 0.007417808865, 0.0003991959380, 0.000007208640707, 0.002452248863, 0.006063045612
188.0000000, 122935.4814, 1224.112818, 3.576566966, 5604.253268, 342049.7729, 5704.681496, 376422.2543, 30.51816483, 2002.420148, 942.6530601, 615.7891396, 1733.089211, 844.8757529, 1.838522871, 1.372021198, 1127.673252, 213.3716305, 0.002827763367, 0.9678279248, 370717.5728, 44.01288000, 0.1941560412, 0.007466729352, 0.0003915852299, 0.000007251339638, 0.002465504001, 0.006059888955
189.0000000, 130170.4513, 1221.100774, 3.772070045, 7334.779459, 342480.6252, 7441.380367, 376989.6480, 39.70004751, 1994.981887, 941.4236033, 618.7794046, 1734.000762, 849.4811193, 1.841892169, 1.372833538, 1121.093638, 213.6990102, 0.002985686555, 0.9665314058, 369548.2676, 44.01288000, 0.1929373301, 0.007515947065, 0.0003841766522, 0.000007294176425, 0.002479020321, 0.006057604832
190.0000000, 137735.4928, 1218.080171, 3.975755510, 9066.071578, 342908.9878, 9179.147463, 377552.8416, 48.83760827, 1987.646525, 940.2193805, 621.7928831, 1734.983800, 854.1562472, 1.845296785, 1.373698977, 1114.519139, 214.0192941, 0.003150369579, 0.9652008801, 368373.6942, 44.01288000, 0.1917223056, 0.007565476471, 0.0003769636077, 0.000007337154781, 0.002492803176, 0.006056195516
