3: nitrous oxide: V/L sat. T=183.0000000 to 308.0000000 K

, , Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, Liquid, Vapor, , , Liquid, Vapor, Liquid, Vapor, Liquid, Vapor
191.0000000, 145640.8233, 1215.050818, 4.187855689, 10798.19217, 343334.8065, 10918.05615, 378111.7506, 57.93164580, 1980.411722, 939.0399602, 624.8287798, 1736.038552, 858.9012851, 1.848737674, 1.374618636, 1107.949551, 214.3324277, 0.003322006121, 0.9638360431, 367193.6945, 44.01288000, 0.1905109395, 0.007615332491, 0.0003699397341, 0.000007380278507, 0.002506858110, 0.006055663699
192.0000000, 153896.7935, 1212.012521, 4.408606393, 12531.20366, 343758.0266, 12658.17990, 378666.2901, 66.98294587, 1973.275186, 937.8849226, 627.8862978, 1737.165289, 863.7164106, 1.852215818, 1.375593660, 1101.384669, 214.6383565, 0.003500792331, 0.9624365976, 366008.1102, 44.01288000, 0.1893032033, 0.007665530520, 0.0003630988948, 0.000007423551501, 0.002521190869, 0.006056012511
193.0000000, 162513.8845, 1208.965081, 4.638246965, 14265.16838, 344178.5930, 14399.59235, 379216.3747, 75.99228178, 1966.234677, 936.7538589, 630.9646399, 1738.364326, 868.6018341, 1.855732228, 1.376625217, 1094.824290, 214.9370257, 0.003686926821, 0.9610022528, 364816.7824, 44.01288000, 0.1880990687, 0.007716086430, 0.0003564351706, 0.000007466977754, 0.002535807407, 0.006057245543
194.0000000, 171502.7051, 1205.908300, 4.877020334, 16000.14860, 344596.4504, 16142.36729, 379761.9189, 84.96041475, 1959.288000, 935.6463710, 634.0630110, 1739.636021, 873.5578032, 1.859287948, 1.377714499, 1088.268211, 215.2283807, 0.003880610664, 0.9595327248, 363619.5516, 44.01288000, 0.1868985077, 0.007767016588, 0.0003499428506, 0.000007510561359, 0.002550713893, 0.006059366874
195.0000000, 180873.9892, 1202.841977, 5.125173074, 17736.20654, 345011.5425, 17886.57874, 380302.8364, 93.88809438, 1952.433005, 934.5620720, 637.1806193, 1740.980777, 878.5846060, 1.862884049, 1.378862726, 1081.716229, 215.5123667, 0.004082047393, 0.9580277361, 362416.2577, 44.01288000, 0.1857014923, 0.007818337870, 0.0003436164244, 0.000007554306507, 0.002565916723, 0.006062381085
196.0000000, 190638.5930, 1199.765907, 5.382955464, 19473.40446, 345423.8129, 19632.30095, 380839.0405, 102.7760590, 1945.667587, 933.5005855, 640.3166788, 1742.399043, 883.6825759, 1.866521639, 1.380071151, 1075.168141, 215.7889290, 0.004291443001, 0.9564870150, 361206.7396, 44.01288000, 0.1845079948, 0.007870067673, 0.0003374505742, 0.000007598217498, 0.002581422526, 0.006066293293
197.0000000, 200807.4921, 1196.679882, 5.650621566, 21211.80460, 345833.2044, 21379.60845, 381370.4439, 111.6250361, 1938.989683, 932.4615454, 643.4704100, 1743.891317, 888.8520953, 1.870201860, 1.381341055, 1068.623746, 216.0580126, 0.004509005953, 0.9549102959, 359990.8355, 44.01288000, 0.1833179877, 0.007922223933, 0.0003314401678, 0.000007642298736, 0.002597238175, 0.006071109170
198.0000000, 211391.7791, 1193.583693, 5.928429296, 22951.46929, 346239.6591, 23128.57608, 381896.9586, 120.4357426, 1932.397271, 931.4445962, 646.6410425, 1745.458142, 894.0935997, 1.873925888, 1.382673757, 1062.082841, 216.3195625, 0.004734947190, 0.9532973186, 358768.3825, 44.01288000, 0.1821314438, 0.007974825144, 0.0003255802508, 0.000007686554737, 0.002613370798, 0.006076834967
199.0000000, 222402.6607, 1190.477126, 6.216640510, 24692.46093, 346643.1185, 24879.27902, 382418.4959, 129.2088856, 1925.888368, 930.4493926, 649.8278158, 1747.100114, 899.4075821, 1.877694937, 1.384070611, 1055.545223, 216.5735237, 0.004969480145, 0.9516478279, 357539.2169, 44.01288000, 0.1809483359, 0.008027890380, 0.0003198660405, 0.000007730990132, 0.002629827787, 0.006083477547
200.0000000, 233851.4551, 1187.359965, 6.515521093, 26434.84208, 347043.5233, 26631.79284, 382934.9664, 137.9451623, 1919.461030, 929.4755993, 653.0299815, 1748.817878, 904.7945972, 1.881510261, 1.385533012, 1049.010689, 216.8198410, 0.005212820758, 0.9499615739, 356303.1736, 44.01288000, 0.1797686372, 0.008081439308, 0.0003142929188, 0.000007775609669, 0.002646616812, 0.006091044403
201.0000000, 245749.5889, 1184.231990, 6.825341055, 28178.67541, 347440.8133, 28386.19352, 383446.2798, 146.6452606, 1913.113352, 928.5228909, 656.2468042, 1750.612132, 910.2552656, 1.885373155, 1.387062398, 1042.479037, 217.0584592, 0.005465187502, 0.9482383109, 355060.0863, 44.01288000, 0.1785923213, 0.008135492219, 0.0003088564265, 0.000007820418220, 0.002663745828, 0.006099543692
202.0000000, 258108.5953, 1181.092980, 7.146374639, 29924.02381, 347834.9275, 30142.55749, 383952.3449, 155.3098594, 1906.843460, 927.5909519, 659.4775632, 1752.483629, 915.7902784, 1.889284954, 1.388660251, 1035.950062, 217.2893231, 0.005726801399, 0.9464777975, 353809.7874, 44.01288000, 0.1774193617, 0.008190070047, 0.0003035522566, 0.000007865420782, 0.002681223096, 0.006108984260
203.0000000, 270940.1107, 1177.942706, 7.478900428, 31670.95038, 348225.8041, 31900.96167, 384453.0695, 163.9396290, 1900.649520, 926.6794766, 662.7215537, 1754.433176, 921.4004011, 1.893247040, 1.390328104, 1029.423560, 217.5123771, 0.005997886058, 0.9446797966, 352552.1078, 44.01288000, 0.1762497322, 0.008245194399, 0.0002983762493, 0.000007910622484, 0.002699057186, 0.006119375676
204.0000000, 284255.8723, 1174.780940, 7.823201470, 33419.51850, 348613.3801, 33661.48350, 384948.3605, 172.5352316, 1894.529727, 925.7881688, 665.9780882, 1756.461641, 927.0864789, 1.897260842, 1.392067540, 1022.899326, 217.7275657, 0.006278667704, 0.9428440741, 351286.8770, 44.01288000, 0.1750834071, 0.008300887576, 0.0002933243860, 0.000007956028588, 0.002717257000, 0.006130728257
205.0000000, 298067.7159, 1171.607446, 8.179565401, 35169.79181, 348997.5914, 35424.20102, 385438.1236, 181.0973212, 1888.482309, 924.9167419, 669.2464978, 1758.569947, 932.8494405, 1.901327835, 1.393880198, 1016.377153, 217.9348335, 0.006569375217, 0.9409703995, 350013.9225, 44.01288000, 0.1739203605, 0.008357172607, 0.0002883927843, 0.000008001644501, 0.002735831784, 0.006143053106
206.0000000, 312387.5728, 1168.421988, 8.548284585, 36921.83432, 349378.3731, 37189.19284, 385922.2633, 189.6265446, 1882.505527, 924.0649185, 672.5261328, 1760.759081, 938.6903035, 1.905449548, 1.395767774, 1009.856834, 218.1341245, 0.006870240175, 0.9390585452, 348733.0704, 44.01288000, 0.1727605670, 0.008414073280, 0.0002835776926, 0.000008047475773, 0.002754791140, 0.006156362140
207.0000000, 327227.4681, 1165.224324, 8.929656258, 38675.71038, 349755.6588, 38956.53825, 386400.6829, 198.1235410, 1876.597670, 923.2324309, 675.8163645, 1763.030095, 944.6101787, 1.909627560, 1.397732029, 1003.338160, 218.3253831, 0.007181496902, 0.9371082859, 347444.1446, 44.01288000, 0.1716040011, 0.008471614170, 0.0002788754855, 0.000008093528106, 0.002774145051, 0.006170668132
208.0000000, 342599.5175, 1162.014206, 9.323982685, 40431.48476, 350129.3811, 40726.31723, 386873.2843, 206.5889431, 1870.757054, 922.4190203, 679.1165858, 1765.384104, 950.6102751, 1.913863510, 1.399774788, 996.8209208, 218.5085531, 0.007503382522, 0.9351193986, 346146.9671, 44.01288000, 0.1704506376, 0.008529820679, 0.0002742826592, 0.000008139807361, 0.002793903891, 0.006185984741
209.0000000, 358515.9254, 1158.791384, 9.731571318, 42189.22268, 350499.4711, 42498.61048, 387339.9682, 215.0233768, 1864.982026, 921.6244373, 682.4262121, 1767.822294, 956.6919054, 1.918159093, 1.401897946, 990.3049046, 218.6835785, 0.007836137016, 0.9330916621, 344841.3578, 44.01288000, 0.1693004516, 0.008588719067, 0.0002697958267, 0.000008186319561, 0.002814078448, 0.006202326552
210.0000000, 374988.9825, 1155.555602, 10.15273498, 43948.98984, 350865.8586, 44273.49952, 387800.6337, 223.4274619, 1859.270958, 920.8484415, 685.7446825, 1770.345922, 962.8564906, 1.922516065, 1.404103473, 983.7898973, 218.8504032, 0.008180003289, 0.9310248565, 343527.1341, 44.01288000, 0.1681534181, 0.008648336496, 0.0002654117137, 0.000008233070902, 0.002834679942, 0.006219709122
211.0000000, 392031.0634, 1152.306602, 10.58779204, 45710.85248, 351228.4721, 46051.06668, 388255.1781, 231.8018124, 1853.622246, 920.0908016, 689.0714603, 1772.956318, 969.1055658, 1.926936249, 1.406393417, 977.2756832, 219.0089705, 0.008535227235, 0.9289187631, 342204.1114, 44.01288000, 0.1670095123, 0.008708701065, 0.0002611271545, 0.000008280067757, 0.002855720049, 0.006238149015
212.0000000, 409654.6247, 1149.044116, 11.03706663, 47474.87742, 351587.2383, 47831.39517, 388703.4974, 240.1470367, 1848.034311, 919.3512953, 692.4060341, 1775.654890, 975.4407857, 1.931421535, 1.408769909, 970.7620439, 219.1592241, 0.008902057818, 0.9267731635, 340872.1022, 44.01288000, 0.1658687096, 0.008769841855, 0.0002569390879, 0.000008327316683, 0.002877210922, 0.006257663850
213.0000000, 427872.2025, 1145.767874, 11.50088880, 49241.13208, 351942.0825, 49614.56915, 389145.4856, 248.4637380, 1842.505599, 918.6297094, 695.7479180, 1778.443124, 981.8639305, 1.935973882, 1.411235169, 964.2487589, 219.3011071, 0.009280747152, 0.9245878400, 339530.9165, 44.01288000, 0.1647309854, 0.008831788975, 0.0002528445536, 0.000008374824432, 0.002899165214, 0.006278272350
214.0000000, 446696.4109, 1142.477602, 11.97959483, 51009.68456, 352292.9283, 51400.67377, 389581.0351, 256.7525148, 1837.034577, 917.9258395, 699.0966530, 1781.322594, 988.3769115, 1.940595326, 1.413791508, 957.7356048, 219.4345627, 0.009671550590, 0.9223625742, 338180.3613, 44.01288000, 0.1635963152, 0.008894573606, 0.0002488406881, 0.000008422597957, 0.002921596104, 0.006299994391
215.0000000, 466139.9392, 1139.173015, 12.47352735, 52780.60369, 352639.6977, 53189.79521, 390010.0362, 265.0139608, 1831.619733, 917.2394903, 702.4518068, 1784.294958, 994.9817781, 1.945287983, 1.416441339, 951.2223551, 219.5595336, 0.01007472682, 0.9200971475, 336820.2409, 44.01288000, 0.1624646746, 0.008958228054, 0.0002449247217, 0.000008470644422, 0.002944517327, 0.006322851054
216.0000000, 486215.5507, 1135.853829, 12.98303568, 54553.95903, 352982.3105, 54982.02075, 390432.3771, 273.2486659, 1826.259575, 916.5704753, 705.8129752, 1787.361966, 1001.680724, 1.950054048, 1.419187177, 944.7087804, 219.6759626, 0.01049053797, 0.9177913400, 335450.3564, 44.01288000, 0.1613360392, 0.009022785799, 0.0002410939748, 0.000008518971209, 0.002967943199, 0.006346864680
217.0000000, 506936.0804, 1132.519747, 13.50847606, 56329.82098, 353320.6851, 56777.43885, 390847.9442, 281.4572158, 1820.952632, 915.9186171, 709.1797816, 1790.525464, 1008.476093, 1.954895807, 1.422031647, 938.1946475, 219.7837921, 0.01091924971, 0.9154449306, 334070.5053, 44.01288000, 0.1602103847, 0.009088281553, 0.0002373458547, 0.000008567585932, 0.002991888649, 0.006372058935
218.0000000, 528314.4337, 1129.170471, 14.05021188, 58108.26080, 353654.7375, 58576.13917, 391256.6212, 289.6401929, 1815.697450, 915.2837471, 712.5518786, 1793.787397, 1015.370390, 1.959815634, 1.424977493, 931.6797196, 219.8829643, 0.01136113139, 0.9130576961, 332680.4821, 44.01288000, 0.1590876867, 0.009154751316, 0.0002336778525, 0.000008616496445, 0.003016369253, 0.006398458868
219.0000000, 550363.5841, 1125.805694, 14.60861404, 59889.35070, 353984.3818, 60378.21267, 391658.2900, 297.7981766, 1810.492594, 914.6657060, 715.9289474, 1797.149817, 1022.366283, 1.964816004, 1.428027581, 925.1637559, 219.9734209, 0.01181645614, 0.9106294109, 331280.0773, 44.01288000, 0.1579679210, 0.009222232434, 0.0002300875400, 0.000008665710851, 0.003041401270, 0.006426090982
220.0000000, 573096.5721, 1122.425101, 15.18406123, 61673.16385, 354309.5300, 62183.75166, 392052.8296, 305.9317431, 1805.336643, 914.0643432, 719.3106989, 1800.614884, 1029.466616, 1.969899491, 1.431184907, 918.6465108, 220.0551038, 0.01228550102, 0.9081598468, 329869.0780, 44.01288000, 0.1568510632, 0.009290763669, 0.0002265725670, 0.000008715237519, 0.003067001675, 0.006454983303
221.0000000, 596526.5035, 1119.028372, 15.77694023, 63459.77448, 354630.0917, 63992.84988, 392440.1167, 314.0414665, 1800.228194, 913.4795174, 722.6968737, 1804.184873, 1036.674416, 1.975068776, 1.434452609, 912.1277346, 220.1279540, 0.01276854717, 0.9056487722, 328447.2668, 44.01288000, 0.1557370890, 0.009360385262, 0.0002231306582, 0.000008765085093, 0.003093188204, 0.006485165460
222.0000000, 620666.5477, 1115.615177, 16.38764628, 65249.25792, 354945.9743, 65805.60258, 392820.0251, 322.1279189, 1795.165858, 912.9110968, 726.0872425, 1807.862181, 1043.992900, 1.980326658, 1.437833967, 905.6071718, 220.1919127, 0.01326587995, 0.9030959514, 327014.4225, 44.01288000, 0.1546259739, 0.009431139004, 0.0002197596109, 0.000008815262505, 0.003119979394, 0.006516668765
223.0000000, 645529.9368, 1112.185182, 17.01658345, 67041.69069, 355257.0826, 67622.10657, 393192.4260, 330.1916702, 1790.148260, 912.3589584, 729.4816064, 1811.649333, 1051.425489, 1.985676051, 1.441332420, 899.0845621, 220.2469203, 0.01377778911, 0.9005011449, 325570.3194, 44.01288000, 0.1535176935, 0.009503068313, 0.0002164572921, 0.000008865778989, 0.003147394629, 0.006549526299
224.0000000, 671129.9643, 1108.738039, 17.66416499, 68837.15056, 355563.3189, 69442.46033, 393557.1875, 338.2332895, 1785.174036, 911.8229889, 732.8797972, 1815.548988, 1058.975813, 1.991119998, 1.444951570, 892.5596389, 220.2929171, 0.01430456896, 0.8978641080, 324114.7272, 44.01288000, 0.1524122232, 0.009576218310, 0.0002132216360, 0.000008916644099, 0.003175454190, 0.006583773009
225.0000000, 697479.9834, 1105.273398, 18.33081377, 70635.71661, 355864.5828, 71266.76408, 393914.1748, 346.2533447, 1780.241837, 911.3030847, 736.2816777, 1819.563945, 1066.647727, 1.996661677, 1.448695193, 886.0321294, 220.3298427, 0.01484651857, 0.8951845906, 322647.4107, 44.01288000, 0.1513095384, 0.009650635903, 0.0002100506418, 0.000008967867719, 0.003204179306, 0.006619445809
226.0000000, 724593.4066, 1101.790894, 19.01696267, 72437.46931, 356160.7713, 73095.11988, 394263.2496, 354.2524032, 1775.350322, 910.7991517, 739.6871417, 1823.697154, 1074.445319, 2.002304406, 1.452567252, 879.5017540, 220.3576366, 0.01540394193, 0.8924623370, 321168.1297, 44.01288000, 0.1502096143, 0.009726369876, 0.0002069423715, 0.000009019460087, 0.003233592214, 0.006656583681
227.0000000, 752483.7044, 1098.290155, 19.72305507, 74242.49064, 356451.7782, 74927.63172, 394604.2704, 362.2310322, 1770.498163, 910.3111058, 743.0961143, 1827.951722, 1082.372922, 2.008051655, 1.456571904, 872.9682261, 220.3762376, 0.01597714822, 0.8896970846, 319676.6387, 44.01288000, 0.1491124262, 0.009803470980, 0.0002038949475, 0.000009071431806, 0.003263716213, 0.006695227800
228.0000000, 781164.4045, 1094.770802, 20.44954532, 76050.86410, 356737.4944, 76764.40561, 394937.0922, 370.1897991, 1765.684038, 909.8388730, 746.5085525, 1832.330923, 1090.435132, 2.013907053, 1.460713516, 866.4312512, 220.3855838, 0.01656645195, 0.8868885639, 318172.6866, 44.01288000, 0.1480179484, 0.009881992032, 0.0002009065495, 0.000009123793865, 0.003294575736, 0.006735421648
229.0000000, 810649.0907, 1091.232440, 21.19689921, 77862.67488, 357017.8078, 78605.54969, 395261.5661, 378.1292722, 1760.906637, 909.3823897, 749.9244449, 1836.838206, 1098.636818, 2.019874396, 1.464996675, 859.8905264, 220.3856131, 0.01717217327, 0.8840364977, 316656.0164, 44.01288000, 0.1469261560, 0.009961988017, 0.0001979754144, 0.000009176557660, 0.003326196415, 0.006777211156
230.0000000, 840951.4032, 1087.674668, 21.96559458, 79678.00990, 357292.6027, 80451.17436, 395577.5397, 386.0500207, 1756.164653, 908.9416030, 753.3438118, 1841.477206, 1106.983138, 2.025957663, 1.469426205, 853.3457401, 220.3762626, 0.01779463819, 0.8811406002, 315126.3653, 44.01288000, 0.1458370235, 0.01004351620, 0.0001950998330, 0.000009229735015, 0.003358605159, 0.006820644842
231.0000000, 872085.0368, 1084.097072, 22.75612181, 81496.95791, 357561.7602, 82301.39237, 395884.8561, 393.9526156, 1751.456787, 908.5164706, 756.7667063, 1846.251758, 1115.479557, 2.032161021, 1.474007177, 846.7965712, 220.3574688, 0.01843417883, 0.8782005766, 313583.4637, 44.01288000, 0.1447505251, 0.01012663624, 0.0001922781481, 0.000009283338205, 0.003391830235, 0.006865773965
232.0000000, 904063.7415, 1080.499225, 23.56898447, 83319.60964, 357825.1577, 84156.31893, 396183.3544, 401.8376297, 1746.781748, 908.1069618, 760.1932133, 1851.165906, 1124.131862, 2.038488838, 1.478744932, 840.2426886, 220.3291674, 0.01909113372, 0.8752161225, 312027.0354, 44.01288000, 0.1436666350, 0.01021141031, 0.0001895087530, 0.000009337379976, 0.003425901352, 0.006912652696
233.0000000, 936901.3217, 1076.880690, 24.40469995, 85146.05785, 358082.6688, 86016.07189, 396472.8692, 409.7056385, 1742.138245, 907.7130574, 763.6234507, 1856.223914, 1132.946185, 2.044945701, 1.483645092, 833.6837501, 220.2912935, 0.01976584811, 0.8721869229, 310456.7973, 44.01288000, 0.1425853269, 0.01029790325, 0.0001867900897, 0.000009391873578, 0.003460849761, 0.006961338295
234.0000000, 970611.6361, 1073.241015, 25.26380013, 86976.39749, 358334.1631, 87880.77183, 396753.2304, 417.5572206, 1737.524992, 907.3347501, 767.0575691, 1861.430287, 1141.929020, 2.051536422, 1.488713580, 827.1194023, 220.2437814, 0.02045867425, 0.8691126513, 308872.4585, 44.01288000, 0.1415065741, 0.01038618266, 0.0001841206467, 0.000009446832784, 0.003496708352, 0.007011891302
235.0000000, 1005208.598, 1069.579735, 26.14683213, 88810.72582, 358579.5064, 89750.54224, 397024.2630, 425.3929582, 1732.940706, 906.9720451, 770.4957524, 1866.789779, 1151.087249, 2.058266061, 1.493956645, 820.5492793, 220.1865644, 0.02116997178, 0.8659929695, 307273.7208, 44.01288000, 0.1404303499, 0.01047631910, 0.0001814989579, 0.000009502271926, 0.003533511767, 0.007064375751
236.0000000, 1040706.173, 1065.896370, 27.05435901, 90649.14253, 358818.5599, 91625.50965, 397285.7870, 433.2134373, 1728.384104, 906.6249605, 773.9382176, 1872.307413, 1160.428161, 2.065139936, 1.499380874, 813.9730020, 220.1195751, 0.02190010802, 0.8628275261, 305660.2774, 44.01288000, 0.1393566271, 0.01056838623, 0.0001789236007, 0.000009558205922, 0.003571296520, 0.007118859396
237.0000000, 1077118.385, 1062.190428, 27.98696067, 92491.74985, 359051.1803, 93505.80379, 397537.6168, 441.0192492, 1723.853903, 906.2935281, 777.3852158, 1877.988497, 1169.959485, 2.072163641, 1.504993227, 807.3901774, 220.0427450, 0.02264945844, 0.8596159558, 304031.8130, 44.01288000, 0.1382853780, 0.01066246095, 0.0001763931943, 0.000009614650311, 0.003610101123, 0.007175413955
238.0000000, 1114459.310, 1058.461396, 28.94523464, 94338.65277, 359277.2196, 95391.55779, 397779.5612, 448.8109901, 1719.348820, 905.9777936, 780.8370319, 1883.838648, 1179.689410, 2.079343071, 1.510801053, 800.8003975, 219.9560047, 0.02341840697, 0.8563578789, 302388.0034, 44.01288000, 0.1372165746, 0.01075862362, 0.0001739063984, 0.000009671621286, 0.003649966232, 0.007234115377
239.0000000, 1152743.080, 1054.708749, 29.92979704, 96189.95915, 359496.5251, 97282.90834, 398011.4231, 456.5892623, 1714.867567, 905.6778173, 784.2939855, 1889.863805, 1189.626623, 2.086684435, 1.516812120, 794.2032384, 219.8592835, 0.02420734651, 0.8530528996, 300728.5148, 44.01288000, 0.1361501885, 0.01085695824, 0.0001714619117, 0.000009729135738, 0.003690934795, 0.007295044132
240.0000000, 1191983.882, 1050.931941, 30.94128357, 98045.77986, 359708.9386, 99179.99592, 398232.9991, 464.3546748, 1710.408855, 905.3936751, 787.7564309, 1896.070258, 1199.780340, 2.094194282, 1.523034649, 787.5982590, 219.7525099, 0.02501667934, 0.8497006054, 299053.0032, 44.01288000, 0.1350861907, 0.01095755264, 0.0001690584704, 0.000009787211287, 0.003733052220, 0.007358285526
241.0000000, 1232195.961, 1047.130410, 31.98035053, 99906.22905, 359914.2964, 101082.9650, 398444.0792, 472.1078441, 1705.971389, 905.1254592, 791.2247580, 1902.464670, 1210.160340, 2.101879525, 1.529477342, 780.9850002, 219.6356107, 0.02584681763, 0.8463005659, 297361.1142, 44.01288000, 0.1340245518, 0.01106049871, 0.0001666948468, 0.000009845866336, 0.003776366555, 0.007423930040
242.0000000, 1273393.621, 1043.303573, 33.04767597, 101771.4242, 360112.4293, 102991.9641, 398644.4465, 479.8493945, 1701.553867, 904.8732788, 794.6993927, 1909.054106, 1220.777008, 2.109747465, 1.536149416, 774.3629836, 219.5085118, 0.02669818398, 0.8428523318, 295652.4824, 44.01288000, 0.1329652417, 0.01116589268, 0.0001643698481, 0.000009905120111, 0.003820928686, 0.007492073704
243.0000000, 1315591.221, 1039.450827, 34.14396085, 103641.4866, 360303.1619, 104907.1465, 398833.8768, 487.5799595, 1697.154981, 904.6372610, 798.1807974, 1915.846060, 1231.641378, 2.117805824, 1.543060648, 767.7317101, 219.3711375, 0.02757121194, 0.8393554332, 293926.7303, 44.01288000, 0.1319082300, 0.01127383528, 0.0001620823148, 0.000009964992711, 0.003866792553, 0.007562818505
244.0000000, 1358803.184, 1035.571546, 35.26993035, 105516.5411, 360486.3125, 106828.6698, 399012.1381, 495.3001824, 1692.773413, 904.4175521, 801.6694718, 1922.848488, 1242.765177, 2.126062772, 1.550221408, 761.0906585, 219.2234107, 0.02846634661, 0.8358093787, 292183.4683, 44.01288000, 0.1308534855, 0.01138443210, 0.0001598311197, 0.00001002550517, 0.003914015382, 0.007636272825
245.0000000, 1403043.992, 1031.665082, 36.42633521, 107396.7168, 360661.6928, 108756.6969, 399178.9904, 503.0107169, 1688.407833, 904.2143186, 805.1659537, 1930.069842, 1254.160880, 2.134526961, 1.557642712, 754.4392845, 219.0652526, 0.02938404531, 0.8322136540, 290422.2935, 44.01288000, 0.1298009763, 0.01149779385, 0.0001576151668, 0.00001008667950, 0.003962657947, 0.007712551931
246.0000000, 1448328.193, 1027.730763, 37.61395324, 109282.1471, 360829.1073, 110691.3957, 399334.1850, 510.7122287, 1684.056901, 904.0277483, 808.6708198, 1937.519110, 1265.841764, 2.143207566, 1.565336269, 747.7770185, 218.8965831, 0.03032477823, 0.8285677202, 288642.7893, 44.01288000, 0.1287506698, 0.01161403669, 0.0001554333894, 0.00001014853877, 0.004012784848, 0.007791778502
247.0000000, 1494670.396, 1023.767890, 38.83359084, 111172.9699, 360988.3531, 112632.9399, 399477.4643, 518.4053959, 1679.719260, 903.8580519, 812.1846869, 1945.205858, 1277.821973, 2.152114321, 1.573314535, 741.1032645, 218.7173199, 0.03128902917, 0.8248710122, 286844.5244, 44.01288000, 0.1277025329, 0.01173328254, 0.0001532847499, 0.00001021110716, 0.004064464822, 0.007874083210
